Title	tv_movie	Episodes	Status	Start airing	End airing	Starting season	Broadcast time	Producers	Licensors	Studios	Sources	Genres	Duration	Rating	Score	Scored by	Members	Favorites	Description
Fullmetal Alchemist: Brotherhood	TV	64	Finished Airing	4/5/2009	7/4/2010	Spring	Sundays at 17:00 (JST)	Aniplex,Square Enix,Mainichi Broadcasting System,Studio Moriken	Funimation,Aniplex of America	Bones	Manga	Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen	24 min. per ep.	R	9.25	719706	1176368	105387	"""In order for something to be obtained, something of equal value must be lost.""

Alchemy is bound by this Law of Equivalent Exchangeâ€”something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgressionâ€”Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist.

Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.

[Written by MAL Rewrite]"
Kimi no Na wa.	Movie	1	Finished Airing	8/26/2016	-	-	-	Kadokawa Shoten,Toho,Sound Team Don Juan,Lawson HMV Entertainment,Amuse,East Japan Marketing & Communications	Funimation,NYAV Post	CoMix Wave Films	Original	Supernatural,Drama,Romance,School	1 hr. 46 min.	PG-13	9.19	454969	705186	33936	"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyoâ€”a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.

One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyoâ€”but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.

Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.

[Written by MAL Rewrite]"
GintamaÂ°	TV	51	Finished Airing	4/8/2015	3/30/2016	Spring	Wednesdays at 18:00 (JST)	TV Tokyo,Aniplex,Dentsu	Funimation,Crunchyroll	Bandai Namco Pictures	Manga	Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen	24 min. per ep.	R	9.16	70279	194359	5597	"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?

Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.

Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's third season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.

[Written by MAL Rewrite]"
Steins;Gate 0	TV	23	Currently Airing	4/12/2018	-	Spring	Thursdays at 01:35 (JST)	Nitroplus	Funimation	White Fox	Visual novel	Sci-Fi,Thriller	23 min. per ep.	PG-13	9.16	12609	186331	1117	"The dark untold story of Steins;Gate that leads with the eccentric mad scientist Okabe, struggling to recover from a failed attempt at rescuing Kurisu. He decides to give up and abandons his lively scientist alter ego, in pursuit to forget the past. When all seems to be normal, he is seemingly pulled back into the past by meeting an acquaintance of Kurisu, who tells him that they have begun testing a device that stores the memory of a human and creates a simulation of them with their characteristics and personalities. Okabe begins testing and finds out that the simulation of Kurisu has brought back anguish and some new unexpected tragedies.

Zero is a side story that explores events from the Beta Attractor Field's future that contribute in making the end of the original story possible."
Steins;Gate	TV	24	Finished Airing	4/6/2011	9/14/2011	Spring	Wednesdays at 02:05 (JST)	Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,Nitroplus	Funimation	White Fox	Visual novel	Sci-Fi,Thriller	24 min. per ep.	PG-13	9.14	552791	990419	90365	"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel.

Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected successâ€”the Phone Microwave can send emails to the past, altering the flow of history.

Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.

[Written by MAL Rewrite]"
Ginga Eiyuu Densetsu	OVA	110	Finished Airing	1/8/1988	3/17/1997	-	-	Kitty Films	Sentai Filmworks	Artland,Magic Bus	Novel	Military,Sci-Fi,Space,Drama	26 min. per ep.	R	9.11	28452	121772	8370	"The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.

While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yangâ€”a strong supporter of democratic idealsâ€”has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.

As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.

[Written by MAL Rewrite]"
Gintama'	TV	51	Finished Airing	4/4/2011	3/26/2012	Spring	Mondays at 18:00 (JST)	TV Tokyo,Aniplex,Dentsu,Trinity Sound,Miracle Robo,Studio Jack,Shueisha	-	Sunrise	Manga	Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen	24 min. per ep.	PG-13	9.11	90758	212238	4533	"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.

Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.

With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.

[Written by MAL Rewrite]
"
Hunter x Hunter (2011)	TV	148	Finished Airing	10/2/2011	9/24/2014	Fall	Sundays at 10:55 (JST)	VAP,Nippon Television Network,Shueisha	Viz Media	Madhouse	Manga	Action,Adventure,Super Power,Shounen	23 min. per ep.	PG-13	9.11	395162	705225	63324	"Hunter x Hunter is set in a world where Hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories. Twelve-year-old Gon Freecss is determined to become the best Hunter possible in hopes of finding his father, who was a Hunter himself and had long ago abandoned his young son. However, Gon soon realizes the path to achieving his goals is far more challenging than he could have ever imagined.

Along the way to becoming an official Hunter, Gon befriends the lively doctor-in-training Leorio, vengeful Kurapika, and rebellious ex-assassin Killua. To attain their own goals and desires, together the four of them take the Hunter Exam, notorious for its low success rate and high probability of death. Throughout their journey, Gon and his friends embark on an adventure that puts them through many hardships and struggles. They will meet a plethora of monsters, creatures, and charactersâ€”all while learning what being a Hunter truly means.

[Written by MAL Rewrite]"
3-gatsu no Lion 2nd Season	TV	22	Finished Airing	10/14/2017	3/31/2018	Fall	Saturdays at 23:00 (JST)	Aniplex,Dentsu,NHK,Hakusensha,Asmik Ace Entertainment,Toy's Factory	Aniplex of America	Shaft	Manga	Drama,Game,Seinen,Slice of Life	25 min. per ep.	PG-13	9.1	26284	80166	1961	"Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sistersâ€”Akari, Hinata, and Momoâ€”who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return. 

Nonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career.

[Written by MAL Rewrite]"
Gintama': Enchousen	TV	13	Finished Airing	10/4/2012	3/28/2013	Fall	Thursdays at 18:00 (JST)	TV Tokyo,Aniplex,Dentsu,Shueisha,Miracle Bus	-	Sunrise	Manga	Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen	24 min. per ep.	PG-13	9.07	62582	121612	1498	"While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character?

In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.

Gintama': Enchousen includes moments of action-packed intensity along with their usual lighthearted, slapstick humor for Gintoki and his friends.

[Written by MAL Rewrite]"
